"id","record_id","subjid","dob","age","sex","dot","tst_status","posttestq_tst1","posttestq_tst2","exprnotes_tst","exprnotes_general","explore_mean_h0","explore_mean_h1","explore_mean_h4","exploit_mean_h0","exploit_mean_h1","exploit_mean_h4","other_mean_h0","other_mean_h1","other_mean_h4","agegroup","trialcount","reward_total","explore_mean","exploit_mean","other_mean","agegroup5","agegroup11","agegroupa","pref_novelty","adaptation","male","dotc","dobc","completed"
"SearchCosts-5_S006","SearchCosts-5_S006","SearchCosts-5_S006","12/10/13",5.62679425837321,1,"7/30/19",1,NA,"","at trial start, would point at ""?"" option each time at fixed choice","took frequent breaks during tasks",1,1,1,0,0,0,0,0,0,"5",18,207.2555662,1,0,0,1,0,0,NA,0,1,2019-07-30,2013-12-10,1
"SearchCosts-5_S007","SearchCosts-5_S007","SearchCosts-5_S007","11/17/13",5.69514695830485,1,"8/1/19",1,2,"randomly","somewhat random, biggest to smallest, then ?","",0.166666666666667,0,0.5,0.666666666666667,1,0.5,0.166666666666667,0,0,"5",18,225.8500837,0.222222222222222,0.722222222222222,0.0555555555555555,1,0,0,0,0.5,1,2019-08-01,2013-11-17,1
"SearchCosts-5_S008","SearchCosts-5_S008","SearchCosts-5_S008","11/9/13",5.73069036226931,1,"8/6/19",1,1,"bigger first, only open ? if 4 picks","random, exploit 2-3 times","",0.333333333333333,0,0.166666666666667,0.666666666666667,1,0.666666666666667,0,0,0.166666666666667,"5",18,254.8177475,0.166666666666667,0.777777777777778,0.0555555555555555,1,0,0,1,0.166666666666667,1,2019-08-06,2013-11-09,1
"SearchCosts-5_S009","SearchCosts-5_S009","SearchCosts-5_S009","8/1/14",5.00615174299385,1,"8/6/19",0,NA,"","did not want to play past demos","did not want to play the games past demos",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,1,0,0,NA,NA,1,2019-08-06,2014-08-01,0
"SearchCosts-5_S010","SearchCosts-5_S010","SearchCosts-5_S010","3/31/14",5.34791524265209,1,"8/8/19",1,2,"biggest, then others","biggest then other 3 w/ 4 picks biggest w/ 1 pick","",0.333333333333333,0.333333333333333,0.166666666666667,0.333333333333333,0.666666666666667,0.833333333333333,0.333333333333333,0,0,"5",18,228.1128487,0.277777777777778,0.611111111111111,0.111111111111111,1,0,0,0,-0.166666666666667,1,2019-08-08,2014-03-31,1
"SearchCosts-5_S011","SearchCosts-5_S011","SearchCosts-5_S011","7/14/14",5.0663021189337,1,"8/10/19",1,2,"biggest","first ? then other 3 w/ 4 clicks   ? with 1 click","",1,0.833333333333333,1,0,0,0,0,0.166666666666667,0,"5",18,203.0686412,0.944444444444444,0,0.0555555555555555,1,0,0,0,0.166666666666667,1,2019-08-10,2014-07-14,1
"SearchCosts-5_S012","SearchCosts-5_S012","SearchCosts-5_S012","11/13/13",5.73069036226931,1,"8/10/19",1,2,"biggest, unknown when I knew it was the biggest","exploit, ? then biggest 3x w/ 4 picks, biggest with one pick","",0.5,0.166666666666667,0.833333333333333,0.5,0.833333333333333,0.166666666666667,0,0,0,"5",18,287.8478637,0.5,0.5,0,1,0,0,0,0.666666666666667,1,2019-08-10,2013-11-13,1
"SearchCosts-5_S013","SearchCosts-5_S013","SearchCosts-5_S013","7/17/14",5.06356801093643,1,"8/12/19",1,2,"random","random with all conditions  1: random, sometimes biggest","",0.166666666666667,0.166666666666667,0.333333333333333,0.5,0.833333333333333,0.666666666666667,0.333333333333333,0,0,"5",18,222.4045787,0.222222222222222,0.666666666666667,0.111111111111111,1,0,0,0,0.166666666666667,1,2019-08-12,2014-07-17,1
"SearchCosts-5_S014","SearchCosts-5_S014","SearchCosts-5_S014","8/27/13",5.94941900205058,1,"8/12/19",1,2,"unknown w/ 4 pick","exploit, biggest w/ 1 click, ? then biggest 3x w/ 4 picks","",0,0,0.5,1,1,0.5,0,0,0,"5",18,284.0247325,0.166666666666667,0.833333333333333,0,1,0,0,0,0.5,1,2019-08-12,2013-08-27,1
"SearchCosts-5_S015","SearchCosts-5_S015","SearchCosts-5_S015","6/5/14",5.18113465481887,2,"8/13/19",1,2,"random- ""I don't know""","random selection, ? then other 3","",0.666666666666667,0.833333333333333,0.666666666666667,0.333333333333333,0.166666666666667,0.166666666666667,0,0,0.166666666666667,"5",18,224.2443387,0.722222222222222,0.222222222222222,0.0555555555555555,1,0,0,0,-0.166666666666667,0,2019-08-13,2014-06-05,1
"SearchCosts-5_S016","SearchCosts-5_S016","SearchCosts-5_S016","2/8/14",5.50649350649351,1,"8/15/19",1,2,"I don't know.","random selection, ? before helper","",1,1,0.833333333333333,0,0,0,0,0,0.166666666666667,"5",18,208.5792412,0.944444444444444,0,0.0555555555555555,1,0,0,0,-0.166666666666667,1,2019-08-15,2014-02-08,1
"SearchCosts-5_S017","SearchCosts-5_S017","SearchCosts-5_S017","11/6/13",5.7634996582365,1,"8/15/19",1,2,"big to small","-biggest to smallest, then biggest again  -did not choose ?  ","",0,0,0,1,1,1,0,0,0,"5",18,255.2846975,0,1,0,1,0,0,0,0,1,2019-08-15,2013-11-06,1
"SearchCosts-5_S018","SearchCosts-5_S018","SearchCosts-5_S018","12/21/13",5.6431989063568,2,"8/16/19",1,1,"? if 4 picks, biggest of 1 pick","began exploiting halfway through game","",0.166666666666667,0.333333333333333,0.833333333333333,0.833333333333333,0.666666666666667,0.166666666666667,0,0,0,"5",18,275.1737512,0.444444444444444,0.555555555555556,0,1,0,0,1,0.5,0,2019-08-16,2013-12-21,1
"SearchCosts-5_S019","SearchCosts-5_S019","SearchCosts-5_S019","12/21/13",5.67327409432673,1,"8/27/19",1,2,"opened unknown first","-explorative  -4 picks: chose ? then other 3 choices  -1 pick: ?  ","",1,1,0.833333333333333,0,0,0.166666666666667,0,0,0,"5",18,203.2782012,0.944444444444444,0.0555555555555555,0,1,0,0,0,-0.166666666666667,1,2019-08-27,2013-12-21,1
"SearchCosts-5_S020","SearchCosts-5_S020","SearchCosts-5_S020","5/6/14",5.32604237867396,2,"9/5/19",1,2,"I don't know","? then other 3, commented on six of each paint splash","",1,1,1,0,0,0,0,0,0,"5",18,213.6309962,1,0,0,1,0,0,0,0,0,2019-09-05,2014-05-06,1
"SearchCosts-5_S021","SearchCosts-5_S021","SearchCosts-5_S021","3/26/14",5.47641831852358,1,"9/19/19",2,2,"choose biggest","stopped after 2 blocks  4 picks: question mark, then biggest one 3x  1 pick: question mark","",1,1,1,0,0,0,0,0,0,"5",11,203.8928062,1,0,0,1,0,0,0,0,1,2019-09-19,2014-03-26,0
"SearchCosts-5_S022","SearchCosts-5_S022","SearchCosts-5_S022","10/13/13",5.93574846206425,2,"9/23/19",1,2,"pointing at them","very random selection","",0.166666666666667,0.5,0.5,0.666666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.333333333333333,0.333333333333333,"5",18,213.480965,0.388888888888889,0.333333333333333,0.277777777777778,1,0,0,0,0,0,2019-09-23,2013-10-13,1
"SearchCosts-5_S023","SearchCosts-5_S023","SearchCosts-5_S023","5/29/14",5.36431989063568,1,"10/12/19",1,2,"want to know what's in the question mark","4 picks: biggest-bigger-big-biggest  random patterns","the camera was zoomed in during recording, and the video is zoomed and can't see the screen",0.166666666666667,0.166666666666667,0.166666666666667,0.833333333333333,0.833333333333333,0.833333333333333,0,0,0,"5",18,251.113,0.166666666666667,0.833333333333333,0,1,0,0,0,2.77555756156289e-17,1,2019-10-12,2014-05-29,1
"SearchCosts-5_S024","SearchCosts-5_S024","SearchCosts-5_S024","4/19/14",5.47915242652085,2,"10/14/19",1,2,"chose cans in a circle","picked each can with 4 picks, ? with 1 pick","",0.666666666666667,0.833333333333333,1,0.166666666666667,0,0,0.166666666666667,0.166666666666667,0,"5",18,216.3750163,0.833333333333333,0.0555555555555555,0.111111111111111,1,0,0,0,0.166666666666667,0,2019-10-14,2014-04-19,1
"SearchCosts-5_S025","SearchCosts-5_S025","SearchCosts-5_S025","5/31/14",5.37799043062201,2,"10/19/19",1,2,"I just think","like to choose question mark right away, but when I report the number of picks, would choose the known paint if there's only 1 pick","",0.166666666666667,0,0.666666666666667,0.833333333333333,1,0.333333333333333,0,0,0,"5",18,236.7119575,0.277777777777778,0.722222222222222,0,1,0,0,0,0.666666666666667,0,2019-10-19,2014-05-31,1
"SearchCosts-5_S026","SearchCosts-5_S026","SearchCosts-5_S026","5/26/14",5.39712918660287,1,"10/21/19",1,2,"I dont know","always the biggest splash- ? if 4 picks","",0.333333333333333,0.166666666666667,1,0.666666666666667,0.833333333333333,0,0,0,0,"5",18,286.16153,0.5,0.5,0,1,0,0,0,0.833333333333333,1,2019-10-21,2014-05-26,1
"SearchCosts-5_S027","SearchCosts-5_S027","SearchCosts-5_S027","10/29/14",5.02529049897471,2,"11/10/19",1,1,"just guess","random and exploratory, like to choose question mark, but if there's only one pick, would change the pick to big paint splashes","forgot to ask Information search questions at first, asked them at the beginning of AXCPT",0.166666666666667,0.333333333333333,0.5,0.666666666666667,0.666666666666667,0.5,0.166666666666667,0,0,"5",18,241.2856575,0.333333333333333,0.611111111111111,0.0555555555555555,1,0,0,1,0.166666666666667,0,2019-11-10,2014-10-29,1
